food,relationship_strength,user_num
F17,-0.980245068,0
F6,-0.578655498,0
F5,0.997574224,0
F1,1.945497126,0
F2,0.240625311,0
F3,0.728118158,0
F4,2.566188325,0
F7,-0.167251246,0
F8,0.231381139,0
F9,-0.735965272,0
F10,2.899556305,0
F11,-0.07453479,0
F12,-4.662620023,0
F13,-0.282747556,0
F14,-2.38919175,0
F15,-5.479380321,0
F16,0.053800257,0
F18,1.143519278,0
F19,2.197265522,0
F20,0.748001192,0
F17,-5.138926148,1
F6,-4.909613557,1
F5,2.624610243,1
F1,-1.645323634,1
F2,-5.873769539,1
F3,1.58265673,1
F4,-0.839523302,1
F7,-0.159619802,1
F8,-0.399554934,1
F9,0.256542062,1
F10,0.875459967,1
F11,0.776860574,1
F12,-5.20606932,1
F13,-1.596072331,1
F14,-0.417765374,1
F15,5.782990828,1
F16,1.219663967,1
F18,-1.662822865,1
F19,0.199819638,1
F20,-2.389826535,1
F17,-0.170901931,2
F6,-1.107919475,2
F5,3.100777048,2
F1,-1.416028119,2
F2,-4.402396128,2
F3,0.552454791,2
F4,-1.403033612,2
F7,-1.092959674,2
F8,-2.95981207,2
F9,-0.792279483,2
F10,3.136663511,2
F11,1.071765144,2
F12,-3.087773447,2
F13,3.627954461,2
F14,-0.719502515,2
F15,1.164226433,2
F16,0.693303769,2
F18,2.577380177,2
F19,0.063476208,2
F20,2.225199664,2
F17,-7.466167242,3
F6,-4.841533758,3
F5,-7.999756393,3
F1,-5.286804285,3
F2,-6.613636846,3
F3,-4.895893252,3
F4,-3.683881685,3
F7,-7.113542557,3
F8,-5.769291634,3
F9,-7.594973086,3
F10,-1.816400282,3
F11,-4.026736149,3
F12,-6.165117852,3
F13,-2.643253737,3
F14,-14.94785596,3
F15,-2.846701849,3
F16,-9.793769762,3
F18,-4.68749192,3
F19,-6.782021177,3
F20,-1.316728697,3
F17,-4.41317963,4
F6,-0.133442808,4
F5,0.800894198,4
F1,-0.086659237,4
F2,-2.51883876,4
F3,-1.455628953,4
F4,-2.345044068,4
F7,-5.192010033,4
F8,-4.087779454,4
F9,-5.033862743,4
F10,-0.541546642,4
F11,2.669168496,4
F12,0.587911481,4
F13,3.622267611,4
F14,-6.225595677,4
F15,1.885997231,4
F16,-9.687713731,4
F18,0.130770803,4
F19,-0.144099811,4
F20,3.910311081,4
F17,-3.722573916,5
F6,-5.048144288,5
F5,-1.768987533,5
F1,0.170455755,5
F2,-4.348780014,5
F3,-0.062601913,5
F4,1.136733865,5
F7,-5.483667704,5
F8,-4.014215995,5
F9,0.222589361,5
F10,3.377795809,5
F11,0.544493394,5
F12,-7.832784194,5
F13,-0.555927152,5
F14,-2.931970506,5
F15,-5.08715526,5
F16,-7.677768701,5
F18,-3.207108153,5
F19,0.337821839,5
F20,-5.534840541,5
F17,-4.927307363,6
F6,-5.125192587,6
F5,3.960066253,6
F1,-0.882453331,6
F2,-5.100970109,6
F3,0.585208408,6
F4,-2.66058399,6
F7,1.181012259,6
F8,-4.052104679,6
F9,4.296469192,6
F10,0.058744589,6
F11,0.449685623,6
F12,-1.180748145,6
F13,2.913967107,6
F14,4.373178841,6
F15,-0.517480956,6
F16,-2.797527517,6
F18,-3.356232666,6
F19,-4.350001048,6
F20,-2.922192363,6
F17,2.965219954,7
F6,2.225928225,7
F5,6.668371504,7
F1,5.030939844,7
F2,1.455605629,7
F3,1.939580388,7
F4,4.3834456,7
F7,5.147314712,7
F8,4.84664249,7
F9,1.431860088,7
F10,5.505753448,7
F11,2.232490909,7
